Pair Number,System A,System B,BLEU Score A,BLEU p-value A,BLEU Mean A,BLEU CI A,BLEU Score B,BLEU p-value B,BLEU Mean B,BLEU CI B,BLEU p-value B Adjusted
839,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-45/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,38.24741136980168,0.0819180819180819,38.24302101788111,0.5027902805170115,0.2617021276595744
840,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-33/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,38.48258971681079,0.2127872127872128,38.47319995212548,0.5293603073435946,0.31140350877192985
841,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-26/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,38.46942160730013,0.2697302697302697,38.45646461159392,0.5121147937010271,0.34047919293820933
842,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-59/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,38.47365484947588,0.2547452547452547,38.46710308390852,0.5032042658906022,0.33203125
843,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-50/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,38.39629492186745,0.3376623376623376,38.391146569415824,0.5314884168463507,0.37444608567208265
844,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-35/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,38.38839464562101,0.2967032967032967,38.38110367852816,0.5220106641546813,0.3539928486293206
845,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-4/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,38.61985783312013,0.0699300699300699,38.61201676381622,0.5090943436424098,0.2533172496984317
846,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-48/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,38.50846457608083,0.1908091908091908,38.49962602775383,0.504215032315166,0.30395778364116094
847,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-17/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,38.58753465793644,0.1118881118881118,38.58224961939332,0.511959061906726,0.2814070351758792
848,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-42/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,38.34862570551429,0.2147852147852147,38.34079661056887,0.5310633874686275,0.3120464441219157
