Pair Number,System A,System B,BLEU Score A,BLEU p-value A,BLEU Mean A,BLEU CI A,BLEU Score B,BLEU p-value B,BLEU Mean B,BLEU CI B
59,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-33/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.482589716810786,0.33266733266733267,38.473199952125476,0.5293603073435946
60,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-26/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.46942160730013,0.2777222777222777,38.45646461159392,0.5121147937010271
61,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-59/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.47365484947588,0.2707292707292707,38.46710308390852,0.5032042658906022
62,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-50/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.39629492186745,0.15184815184815184,38.391146569415824,0.5314884168463507
63,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-35/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.38839464562101,0.12787212787212787,38.38110367852816,0.5220106641546813
64,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-4/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.61985783312013,0.15684315684315683,38.61201676381622,0.5090943436424098
65,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-48/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.50846457608083,0.4115884115884116,38.49962602775383,0.504215032315166
66,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-17/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.58753465793644,0.2097902097902098,38.58224961939332,0.511959061906726
67,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-42/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.348625705514294,0.11188811188811189,38.340796610568866,0.5310633874686275
68,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-71/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.61348155576317,0.16983016983016982,38.603796463745894,0.5210607969939112
69,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-74/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.345517894461295,0.08891108891108891,38.343629095276725,0.512320553041647
70,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-47/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.402308402395036,0.16283716283716285,38.40020268699486,0.5159609975392492
71,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-53/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.421616207398,0.1798201798201798,38.41425993777114,0.5284243038247389
72,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-18/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.54160863618224,0.3066933066933067,38.53377055780436,0.5207161570351104
73,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-37/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.36572996174205,0.11988011988011989,38.35861331175735,0.5261918588610186
74,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-58/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.16821762988917,0.01098901098901099,38.15983611697428,0.5130229919956584
75,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-12/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.47280886370039,0.28471528471528473,38.46869084520855,0.5245561204772926
76,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-38/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.41725080640777,0.17082917082917082,38.41564011893596,0.5106371402638601
77,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-36/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.4478584902559,0.2217782217782218,38.44286975479361,0.5091991939957232
78,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-27/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.344823253102426,0.11688311688311688,38.34330002437365,0.4925578898682623
79,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-7/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.27443641579226,0.059940059940059943,38.265092321319884,0.5004058338012065
